Nome Format,Tipologia,Logistica,Target Ideale,Vibe / Emozione,Sales Hook,Social,Novità ,Ranking,Max Pax,Durata Min,Durata Max,Durata Ideale,Descrizione Breve,Formazione,Note,Link website page
5ensi,Sensoriale / Cena,Durante i pasti,"Gruppi Internazionali, Cene Relax","Relax, Sensoriale, Scoperta",Un viaggio sensoriale dove le parole non servono: contano solo le percezioni.,no,no,2,Illimitato,1,2,"1,5",Sfida a squadre basata sull'uso dei 5 sensi per riconoscere oggetti e sapori.,High,,https://www.teambuilding.it/project/5ensi/
Actors Studio,Teatrale / Creativo,Indoor,"Team Commerciali, Estroversi","Creatività , Risate, Espressione","Luci, camera, azione! Mettete in scena il talento nascosto del vostro team.",si,no,4,Illimitato,3,6,4,"I partecipanti scrivono, costumano e recitano brevi scene teatrali o spot.",High,,https://www.teambuilding.it/project/actors-studio/
Affresco,Creativo / Artistico,Indoor / Outdoor,"Team Creativi, Grandi Gruppi","Creatività , Collaborazione Pura, Relax","Ogni pennellata è unica, ma è l'insieme che crea il capolavoro aziendale.",no,no,4,Illimitato,"1,5",3,2,Creazione di un grande dipinto collettivo su pannelli che formano un'unica opera.,medium,,https://www.teambuilding.it/project/affresco/
Agility Dog,Sociale / Costruzione,Outdoor,"Amanti animali, Team Empatici","Cuore, Natura, Empatia",Costruire per i nostri amici a 4 zampe: un team building che fa scodinzolare il cuore.,no,si,2,50,2,3,"2,5",Costruzione di un percorso a ostacoli per cani e dimostrazione finale con addestratori.,low,,https://www.teambuilding.it/project/agility-dog/
AI TeamBuilders,Tech / AI,Indoor,"Marketing, IT, Gen-Z, Innovatori","Innovazione, Futuro, Visionario",Il futuro è adesso: collaborate con l'Intelligenza Artificiale per creare l'impossibile.,no,si,5,Illimitato,2,3,"2,5",Utilizzo dell'intelligenza artificiale per ideare e creare nuovi format o prodotti.,High,,https://www.teambuilding.it/project/ai-team-builders/
Aliante,Esperienziale / Volo,Outdoor,"Board Direzionale, Top Management","Adrenalina, Esclusività , Libertà",Cambiate prospettiva e puntate in alto: un'esperienza di volo esclusiva e indimenticabile.,no,no,1,50,4,8,6,"Giornata in aeroclub con montaggio aliante, simulatore e prova di volo reale.",High,"Si svolge solo a Bergamo in giornate prive di vento. Format complesso da organizzare, ma eccezionale, di impatto e molto adatto a scopi formativi.",https://www.teambuilding.it/project/aliante/
Animal House,Sociale / Costruzione,Indoor / Outdoor,"Team Empatici, CSR","Cuore, Manualità , Utilità",Date una casa a chi non ce l'ha: manualità  e cuore al servizio degli animali.,si,si,3,Illimitato,1,3,2,Costruzione e decorazione di cucce e casette per animali da donare a canili/gattili.,Medium,,https://www.teambuilding.it/project/animal-house/
AperiBuilding,Culinario / Aperitivo,Indoor / Outdoor,"Gruppi misti, Ice-breaking","Convivialità , Gusto, Relax","Non il solito aperitivo, ma quello creato dalle vostre mani: shake your team!",no,no,4,Illimitato,1,"2,5","1,5",Sfida culinaria per la creazione del miglior finger food e cocktail abbinato.,low,,https://www.teambuilding.it/project/aperibuilding/
Auto Smash,Antistress,Outdoor,"Team sotto pressione, Sales","Adrenalina, Sfogo, Potenza",Avete avuto un anno stressante? E' il momento di distruggere tutto (letteralmente).,no,no,2,50,"0,5","1,5",1,Demolizione controllata di un'auto vera con mazze e martelli in totale sicurezza.,low,,https://www.teambuilding.it/project/auto-smash/
Ballando,Danza / Show,Indoor,"Estroversi, Party Aziendali","Energia, Risate, Movimento",Il ritmo che unisce: scendete in pista e coordinatevi a tempo di musica.,no,no,2,Illimitato,"1,5",3,2,Preparazione di una coreografia di ballo di gruppo con esibizione finale.,low,,https://www.teambuilding.it/project/ballando/
Beach Club,Sportivo / Giochi,Outdoor,"Giovani, Sportivi, Summer Party","Sole, Competizione, Divertimento","Sole, mare e sana competizione: le olimpiadi da spiaggia per ricaricare le batterie.",no,no,4,Illimitato,2,4,3,"Torneo di giochi da spiaggia (volley, bocce, castelli di sabbia, ecc.) in riva al mare.",low,,https://www.teambuilding.it/project/beach-club/
Bike Building,Sociale / Costruzione,Indoor,"Tutti i reparti, CSR","Cuore, Meccanica, Sorpresa",Avvitare un bullone non è mai stato cosà emozionante: costruite un sorriso per un bambino.,si,no,5,Illimitato,1,2,"1,5",Montaggio di biciclette da zero che verranno donate in beneficenza a fine evento.,High,,https://www.teambuilding.it/project/bike-building/
Bootcamp,Avventura / Sport,Outdoor,"Sportivi, Team ""aggressivi""","Adrenalina, Fatica, Superamento Limiti",Oltre ogni limite: addestramento militare per forgiare un carattere di ferro.,no,no,5,Illimitato,3,6,4,Percorso di sopravvivenza e prove fisiche/logiche ispirate all'addestramento militare.,High,,https://www.teambuilding.it/project/bootcamp/
Caccia all'uomo,Urban Game / Avventura,Outdoor,"Sportivi, team agguerriti","Sport, velocità, rapidità, competizione",Caccia all’uomo è il team building che trasforma la città in un set da thriller.,no,si,4,Illimitato,1,4,"2,5",Inseguite e catturate un personaggio misterioso in città.,low,,https://www.teambuilding.it/project/caccia-alluomo/
Candid Camera,Creativo / Urban,Outdoor,"Team Commerciali, Estroversi","Risate, Faccia tosta, Creatività ",Siete pronti a metterci la faccia? Il team building più irriverente di sempre.,no,no,3,150,"2,5",4,3,I team ideano e realizzano scherzi divertenti ai passanti filmandoli di nascosto.,low,,https://www.teambuilding.it/project/candid-camera/
Cardboard World,Costruzione / Creativo,Indoor,"Ingegneri, Grandi Gruppi","Creatività , Visione, Costruzione",Date forma alle vostre idee: costruiamo un mondo intero usando solo cartone e ingegno.,no,no,3,1000+,2,3,"2,5","Costruzione di strutture, mobili o scenari utilizzando solo cartone e creatività .",medium,,https://www.teambuilding.it/project/cardboard-world/
Carton Boat,Costruzione / Sport,Outdoor (Acqua),"Giovani, Sportivi, Summer Party","Risate, Sfida, Ingegno",La sfida navale definitiva: galleggerà  o affonderà? L'ingegno al potere.,no,no,4,Illimitato,2,3,"2,5",Costruzione di barche di cartone che devono realmente galleggiare e gareggiare in acqua.,medium,,https://www.teambuilding.it/project/carton-boat/
Cartoon Car Race,Costruzione / Gara,Indoor / Outdoor,"Tutti i reparti, Creativi","Risate, Competizione, Colore",Tornare bambini per correre veloci: costruisci il tuo bolide e vinci la gara più pazza.,no,no,5,Illimitato,2,3,"2,5",Costruzione e gara di auto a spinta realizzate in cartone e legno in stile cartoon.,medium,,https://www.teambuilding.it/project/cartoon-car-race/
Casinò,Intrattenimento,Indoor / Cena,"Cene di Gala, Clienti VIP","Lusso, Gioco, Eleganza","L'eleganza di Montecarlo al vostro evento: fate il vostro gioco, rien ne va plus!",si,no,2,Illimitato,"1,5",3,2,"Simulazione di una sala da gioco con tavoli reali (roulette, black jack) e croupier.",low,,https://www.teambuilding.it/project/casino/
Caterpillar,Guida / Heavy,Outdoor,"Uomini, Settore Edilizio/Tech","Potenza, Precisione, Wow Factor",Mettetevi alla guida di veri giganti d'acciaio: potenza grezza sotto il vostro controllo.,no,no,2,50,3,4,"3,5",Prova di abilità  e guida utilizzando veri mezzi pesanti da cantiere (escavatori).,low,,https://www.teambuilding.it/project/caterpillar-day/
Caterpillar Zone,Costruzione / Tech,Indoor / Outdoor,"Appassionati Tech, Modellismo","Precisione, Tecnica, Gioco",Un cantiere in miniatura dove la precisione millimetrica guida il successo del team.,no,no,3,100,2,3,"2,5",Sfida di costruzione e manovra in un cantiere in miniatura con mezzi radiocomandati.,low,,https://www.teambuilding.it/project/caterpillar-zone/
Cena con Delitto,Investigativo / Cena,Durante i pasti,"Cene Aziendali, Gruppi Analitici","Mistero, Intrigo, Coinvolgimento","Il crimine è servito: tra una portata e l'altra, scoprite l'assassino seduto accanto a voi.",no,no,4,Illimitato,2,3,"2,5",Spettacolo teatrale interattivo dove i commensali devono scoprire il colpevole di un crimine.,low,,https://www.teambuilding.it/project/cena-con-delitto/
Chain Reaction,Costruzione / Logica,Indoor,"Ingegneri, Project Manager","Logica, Pazienza, Wow Effect",Ogni piccola azione conta: create la reazione a catena perfetta per unire i reparti.,no,no,5,Illimitato,2,3,"2,5",Costruzione di un complesso meccanismo a catena dove ogni pezzo innesca il successivo.,high,,https://www.teambuilding.it/project/chain-reaction/
Christmas Escape,Enigmi / Cena,Durante i pasti,Cene di Natale,"Logica, Festa, Mistero",Salvate il Natale risolvendo gli enigmi prima che arrivi il dolce!,no,no,3,Illimitato,"1,5","2,5",2,Escape room a tema natalizio con enigmi da risolvere al tavolo per aprire un lucchetto.,low,,https://www.teambuilding.it/project/christmas-escape/
Christmas Sweet Lab,Culinario,Indoor,"Cene di Natale, Golosi","Dolcezza, Natale, Creatività ",Il lato più dolce del Natale: diventate pasticceri e create il villaggio delle feste.,no,no,3,Illimitato,"1,5","2,5",2,Creazione e decorazione di dolci natalizi per comporre un villaggio commestibile.,medium,,https://www.teambuilding.it/project/christmas-sweet-lab/
Cinema,Creativo / Video,Indoor / Outdoor,"Marketing, HR, Creativi","Cinema, Recitazione, Teamwork","Ciak, si gira! Trasformate i valori aziendali in un cortometraggio da Oscar.",no,no,5,Illimitato,"2,5",4,3,"Realizzazione di un cortometraggio: sceneggiatura, riprese, recitazione e montaggio.",High,,https://www.teambuilding.it/project/cinema/
